group,link,title,element1,element2,desc,label,role,cover
stories,https://www.chinanews.com.cn/cul/2023/10-17/10095597.shtml,丝路千年大数据揭秘茶咖融合的前世今生,,,,"multimedia,politics,culture","planner,writer,designer",img/ckrh.gif
stories,https://www.chinanews.com.cn/gn/2023/09-23/10082818.shtml,万首诗词大数据告诉你为何“最忆是杭州”,,,,"multimedia,politics,culture","planner,writer,designer",img/hzsc.gif
stories,https://mp.weixin.qq.com/s?__biz=MzIyNDA2NTI4Mg==&mid=2655499162&idx=2&sn=9b16fb3e0b07484200b55f5a93fdcad9&chksm=f27ed2010c9403868125e682ce93a01f3c69e0669b53af1e25e40b5f1185fb08eafc0fe74b78&mpshare=1&scene=1&srcid=0307eovSryt4ad9qf0ratRBn&sharer_shareinfo=cb44a211439c7c2da088dbb0bf85c88c&sharer_shareinfo_first=5ffdd0a16d33432c10f3dddb483972cb#rd,北上广深的公共体育设施资源知多少？,,,,"infographics,society","planner,writer,designer",img/tyss22.png
stories,,,"Visualization of the wildcats' body data, global distribution, and data of relevant publications. The graphics was inserted as the first figure in the following publication: Xie, Bing & Gong, Yinan & Fu, Yanwen & Feng, Limin & Yang, Haitao. (2023). Does the territorial behaviour of the Amur tiger affect the accuracy of occupancy estimation?. 10.1101/2023.01.16.524338.
<br/><img src='works/wildcats.png' />",,,"infographics,science","Designer,illustrator",img/widecats.png
stories,, ,"The relationship of Essential Biodiversity Variables (EBVs) names to Aichi Biodiversity Targets and the United Nations Sustainable Development Goals (SDGs)
<br/><img src='works/ecoconn.png' /> ","<img src='works/ecolit.png' /> 
<br/>任淯, & Sl, Tao & Ty, Hu & Ht, Yang & Hc, Guan & Yj, Su & Mx, Chen & Hw, Wan & Ren, Yu & Tao, Shengli & Hu, Tianyu & Yang, Haitao & Guan, Hongcan & Su, Yanjun & Cheng, Kai & Chen, Mengxi & Wan, Huawei & Guo, Qinghua. (2023). 中国生物多样性核心监测指标遥感产品体系构建 与思考 The outlook and system construction for monitoring Essential Biodiversity Variables based on remote sensing: The case of China. Biodiversity Science. 22530. 10.17520/biods.2022530. ",,"infographics,science",Designer,img/ecocnn.png
stories,http://www.news.cn/datanews/20211015/C99905849A1000012A8E18C0199B1681/c.html,家宴，人间至味是团圆,,,,"interactive,culture","planner,writer,designer",img/cjjy.gif
stories,http://www.news.cn/datanews/20211015/C999058552E00001AF4E9CEBA7207460/c.html,宋词缱绻，何处画人间,,,,"interactive,culture","planner,writer,designer",img/sciqqinfo.png
stories,http://www.xinhuanet.com/datanews/20211015/C999058552A00001BA72DEF01090BE50/c.html,真正的“侏罗纪世界”，在中国,,,,"infographics,science","planner,writer,designer",img/zljsjzh.png
stories,http://www.news.cn/datanews/20211015/C9990585530000013946104011B05E70/c.html,从珠江口到大屿山：双甲子承诺如何炼成,,,,"infographics,science","planner,writer,designer",img/hzmb.png
stories,,China Story series: China Metro System,<img src='works/cnstory4.png' /> ,,,"infographics,science,economy","Writer,designer",img/cnstory4.png
stories,,China Story series: China Cross-Border Energy Pathway,<img src='works/cnstory2.png' /> ,,,"infographics,science,economy","Writer,designer",img/cnstory2.png
stories,,China Story series: China 5G,<img src='works/cnstory3.png' /> ,,,"infographics,science","Writer,designer",img/5gtech.png
stories,,China Story series: C919,<img src='works/cnstory1.png' /> ,,,"infographics,science,3D","Writer,designer",img/cnstory.png
